index,name,prompt
,K-Pop Hyperpop,"Use K-Pop Hyperpop: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,K-Pop Retro Disco,"Use K-Pop Retro Disco: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,K-Pop Rock Hybrid,"Use K-Pop Rock Hybrid: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,80s Japanese City Pop,"Use 80s Japanese City Pop: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,90s J-Pop,"Use 90s J-Pop: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,Modern J-Pop,"Use Modern J-Pop: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,Japanese Idol Pop,"Use Japanese Idol Pop: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,Japanese Alternative Idol,"Use Japanese Alternative Idol: tightly designed sections, coordinated group vocals, rhythmic switch-ups and polished hook stacking."
,80s East Coast Rap,"Use 80s East Coast Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,80s Golden Age Hip-Hop,"Use 80s Golden Age Hip-Hop: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,90s East Coast Boom Bap,"Use 90s East Coast Boom Bap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,90s West Coast G-Funk,"Use 90s West Coast G-Funk: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,90s Southern Rap,"Use 90s Southern Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,90s Memphis Rap,"Use 90s Memphis Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,2000s Crunk,"Use 2000s Crunk: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,2000s Chipmunk Soul,"Use 2000s Chipmunk Soul: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,2000s Blog-Era Rap,"Use 2000s Blog-Era Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,2010s Cloud Rap,"Use 2010s Cloud Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,2010s Trap,"Use 2010s Trap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,Modern Detroit Rap,"Use Modern Detroit Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,Modern Milwaukee Rap,"Use Modern Milwaukee Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,Modern UK Grime,"Use Modern UK Grime: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,Modern UK Road Rap,"Use Modern UK Road Rap: region- and era-authentic drums, flow pockets, bass language, sample choices and hook construction."
,UK Melodic Drill,"Use UK Melodic Drill: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,New York Sample Drill,"Use New York Sample Drill: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Latin Trap,"Use Latin Trap: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Emo Rap,"Use Emo Rap: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Plugg,"Use Plugg: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,PluggnB,"Use PluggnB: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Baltimore Club Rap,"Use Baltimore Club Rap: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Philly Club Rap,"Use Philly Club Rap: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Opium-Style Rage,"Use Opium-Style Rage: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Drumless Abstract Rap,"Use Drumless Abstract Rap: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,Industrial Hip-Hop,"Use Industrial Hip-Hop: current regional drum grammar, bass movement, cadence, vocal texture and concise transitions."
,60s Motown Soul,"Use 60s Motown Soul: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,60s Southern Soul,"Use 60s Southern Soul: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,70s Philly Soul,"Use 70s Philly Soul: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,70s Quiet Storm,"Use 70s Quiet Storm: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,70s Psychedelic Soul,"Use 70s Psychedelic Soul: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,80s Contemporary R&B,"Use 80s Contemporary R&B: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,80s Boogie Funk,"Use 80s Boogie Funk: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,90s New Jack Swing,"Use 90s New Jack Swing: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,90s Hip-Hop Soul,"Use 90s Hip-Hop Soul: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,2000s Contemporary R&B,"Use 2000s Contemporary R&B: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,2010s Alternative R&B,"Use 2010s Alternative R&B: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,Modern Bedroom R&B,"Use Modern Bedroom R&B: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,Modern Afro-R&B,"Use Modern Afro-R&B: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,Modern Gospel R&B,"Use Modern Gospel R&B: pocket-focused rhythm, expressive lead phrasing, harmony stacks and era-aware keys, bass and drums."
,60s Deep Funk,"Use 60s Deep Funk: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,70s P-Funk,"Use 70s P-Funk: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,70s Jazz-Funk,"Use 70s Jazz-Funk: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,70s Disco,"Use 70s Disco: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,70s Eurodisco,"Use 70s Eurodisco: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,80s Boogie,"Use 80s Boogie: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,80s Electro-Funk,"Use 80s Electro-Funk: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,90s Acid Jazz,"Use 90s Acid Jazz: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,Modern Nu-Disco,"Use Modern Nu-Disco: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,Modern Future Funk,"Use Modern Future Funk: interlocking rhythm parts, danceable bass, disciplined groove and period-aware sheen."
,70s Berlin-School Electronic,"Use 70s Berlin-School Electronic: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,70s Kosmische,"Use 70s Kosmische: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,80s Electro,"Use 80s Electro: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,80s EBM,"Use 80s EBM: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,80s Chicago House,"Use 80s Chicago House: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,80s Detroit Techno,"Use 80s Detroit Techno: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,90s Big Beat,"Use 90s Big Beat: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,90s Breakbeat Hardcore,"Use 90s Breakbeat Hardcore: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,90s Intelligent Techno,"Use 90s Intelligent Techno: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,90s Trip-Hop,"Use 90s Trip-Hop: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,2000s French Electro,"Use 2000s French Electro: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,2000s Electroclash,"Use 2000s Electroclash: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,2010s Future Garage,"Use 2010s Future Garage: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,2010s Chillwave,"Use 2010s Chillwave: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,Modern Organic Electronica,"Use Modern Organic Electronica: era-specific synthesis, sequencing, spatial design, drum programming and evolving arrangement."
,Chicago Acid House,"Use Chicago Acid House: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,New York Garage House,"Use New York Garage House: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Afro House,"Use Afro House: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Organic House,"Use Organic House: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Tech House,"Use Tech House: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Minimal House,"Use Minimal House: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Hardgroove Techno,"Use Hardgroove Techno: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Peak-Time Techno,"Use Peak-Time Techno: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Industrial Techno,"Use Industrial Techno: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Progressive Trance,"Use Progressive Trance: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Vocal Trance,"Use Vocal Trance: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Goa Trance,"Use Goa Trance: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Hard Trance,"Use Hard Trance: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Hardstyle,"Use Hardstyle: club-functional low end, mixable phrasing, controlled builds and a genre-authentic peak."
,Old-School Jungle,"Use Old-School Jungle: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Atmospheric Jungle,"Use Atmospheric Jungle: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Liquid Funk DnB,"Use Liquid Funk DnB: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Dancefloor Drum and Bass,"Use Dancefloor Drum and Bass: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Neurofunk,"Use Neurofunk: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Jump-Up Drum and Bass,"Use Jump-Up Drum and Bass: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,UK Dubstep,"Use UK Dubstep: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Post-Dubstep,"Use Post-Dubstep: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Riddim Dubstep,"Use Riddim Dubstep: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Melodic Dubstep,"Use Melodic Dubstep: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,UK Garage 2-Step,"Use UK Garage 2-Step: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Speed Garage,"Use Speed Garage: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Bassline House,"Use Bassline House: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,Wave Music,"Use Wave Music: breakbeat detail, sub-bass design, tension/release and soundsystem-ready dynamics."
,40s Western Swing,"Use 40s Western Swing: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,50s Honky-Tonk,"Use 50s Honky-Tonk: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,60s Nashville Sound,"Use 60s Nashville Sound: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,70s Outlaw Country,"Use 70s Outlaw Country: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,80s Neo-Traditional Country,"Use 80s Neo-Traditional Country: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Modern Red Dirt Country,"Use Modern Red Dirt Country: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Modern Appalachian Country,"Use Modern Appalachian Country: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Modern Alt-Country,"Use Modern Alt-Country: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Modern Americana,"Use Modern Americana: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Traditional Bluegrass,"Use Traditional Bluegrass: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Progressive Bluegrass,"Use Progressive Bluegrass: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Celtic Folk,"Use Celtic Folk: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Contemporary Folk,"Use Contemporary Folk: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,Indie Americana,"Use Indie Americana: believable acoustic or electric ensemble, conversational storytelling and regional groove."
,60s Ska,"Use 60s Ska: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,70s Roots Reggae,"Use 70s Roots Reggae: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,70s Dub Reggae,"Use 70s Dub Reggae: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,80s Lovers Rock,"Use 80s Lovers Rock: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,90s Ragga Dancehall,"Use 90s Ragga Dancehall: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,Classic Reggaeton,"Use Classic Reggaeton: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,Latin Alternative,"Use Latin Alternative: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,Brazilian MPB,"Use Brazilian MPB: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,Nigerian Afrobeats,"Use Nigerian Afrobeats: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,Ghanaian Highlife,"Use Ghanaian Highlife: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,South African Amapiano,"Use South African Amapiano: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,Afro-Soul,"Use Afro-Soul: culturally grounded rhythm, instrumentation and vocal phrasing without caricature."
,20s Hot Jazz,"Use 20s Hot Jazz: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,30s Swing Big Band,"Use 30s Swing Big Band: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,40s Bebop,"Use 40s Bebop: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,50s Hard Bop,"Use 50s Hard Bop: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,50s Cool Jazz,"Use 50s Cool Jazz: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,60s Modal Jazz,"Use 60s Modal Jazz: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,60s Soul Jazz,"Use 60s Soul Jazz: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,70s Jazz Fusion,"Use 70s Jazz Fusion: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Modern Nu Jazz,"Use Modern Nu Jazz: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Modern Vocal Jazz,"Use Modern Vocal Jazz: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Delta Country Blues,"Use Delta Country Blues: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Texas Blues Rock,"Use Texas Blues Rock: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Jump Blues,"Use Jump Blues: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Modern Soul Blues,"Use Modern Soul Blues: idiomatic harmony, swing or pocket, responsive ensemble playing and natural performance detail."
,Golden-Age Hollywood Score,"Use Golden-Age Hollywood Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,60s Spaghetti Western Score,"Use 60s Spaghetti Western Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,70s Suspense Score,"Use 70s Suspense Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,80s Synth Horror Score,"Use 80s Synth Horror Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,90s Adventure Score,"Use 90s Adventure Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Modern Superhero Score,"Use Modern Superhero Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Modern Prestige Drama Score,"Use Modern Prestige Drama Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Modern Hybrid Trailer,"Use Modern Hybrid Trailer: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Modern Dark Trailer,"Use Modern Dark Trailer: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Modern Orchestral Pop,"Use Modern Orchestral Pop: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Epic Choir and Orchestra,"Use Epic Choir and Orchestra: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Minimalist Piano Score,"Use Minimalist Piano Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Ambient Science-Fiction Score,"Use Ambient Science-Fiction Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Neo-Classical Chamber Score,"Use Neo-Classical Chamber Score: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
,Cinematic Post-Rock,"Use Cinematic Post-Rock: motif-led orchestration, clear dramatic arc, dynamic contrast and screen-ready spatial depth."
