name,prompt,negative_prompt,category,weight,favorite
Chaise Fan Face Thigh Drama,"reclining on vintage chaise lounge sideways one arm dangling off edge wearing red lingerie set legs crossed at ankles elevated holding fan partially covering face dramatic velvet backdrop warm studio light theatrical mood elegant style refined touch","low quality...",Lying/Supine,1,
Door Twist Wink Fashion,"twisting body in doorway back to camera looking over shoulder with wink wearing high slit dress hugging hips waist one hand adjusting strap golden hour light washing background slightly fashion style provocative pose confident flair bold style","low quality...",Standing,1,
Splits Floor Reach Line,"lying on floor doing full splits stretching forward touching toes wearing tight bodysuit highlighting inner thighs waist arms extended reaching looking up at ceiling camera above capturing full body pose bright airy aesthetic stretch line strong grace","low quality...",Prone/Bending,1,
Towel Twist Steam Soft,"twisting towel around torso in steamy bathroom wearing panties underneath wet hair wrapped secondary towel mirror fogged with hand writing soft diffused light from shower door sensual intimate mood vapor atmosphere romantic hint desire heat","low quality...",General,1,
Car Belt Slow Pull Cinematic,"sitting in car driver seat pulling seatbelt across chest slowly wearing silk camisole clinging to curves one leg crossed over other hands adjusting buckle looking at passenger side camera cinematic interior lighting moody vibe seductive atmosphere rich","low quality...",Sitting/Kneeling,1,
Fence Mesh Grip Grid,"leaning back against chain link fence feet planted wide holding wire mesh at hips wearing lace bralette short skirt background industrial texture soft focus sunlight creating grid shadows on body gritty urban style provocative shadow play mood dark","low quality...",Standing,1,
Stool Sequin Shine Night,"sitting on high bar stool one leg dropped down hip cocked up wearing sequin mini dress shimmering hands resting on thighs biting lip neon bar lights bokeh background vibrant colors bold confident pose nightlife vibe glamour shine bright","low quality...",Sitting/Kneeling,1,
Curtain Glimpse Teasing Peek,"standing behind sheer curtain pulling fabric to side with hand revealing body underneath wearing lace teddy translucent against light silhouette effect soft romantic interior light eye peering out teasingly mysterious seductive mood alluring glance inviting","low quality...",Exposed/Teasing,1,
Hair Toss Amber Glow Portrait,"hand tossing hair over shoulder looking back at camera wearing low cut sweater showing cleavage skin smooth glistening warm amber lighting creating depth blurred garden background lush green tones elegant sensual portrait vibe sophisticated style classic","low quality...",General,1,
Thigh Squeeze Stocking Bliss,"lying on side hugging knee to chest with hand squeezing inner thigh above stocking line wearing lacy bralette panties twisted to one side eyes closed in pleasure expression sheet rumpled soft diffuse lighting mood deep sensation bliss joy","low quality...",Masturbation,1,
Partner Chest Rest Arm Soft,"woman lying back head resting on partner's chest partner's arm wrapped protectively around her she looks up with adoring soft gaze wearing silk robe open showing strap of lace bra candlelight glow peaceful intimate mood trust love secure","low quality...",Sexual/Partnered,1,
Rooftop Wind Wide Sky Epic,"standing on rooftop edge facing wind hair whipping across face and body wearing flowing white dress clinging to curves arms spread slightly for balance sunset purple orange sky background cinematic wide shot dramatic atmosphere freedom vibe epic scale","low quality...",Standing,1,
Mirror Floor Reflection Art,"lying on bathroom floor looking up into handheld mirror reflecting face and cleavage below visible legs bent relaxed tiled floor reflection double exposure effect artistic sensual mood creative visual depth layered","low quality...",General,1,
Lap Kiss Inner Thigh Passion,"sitting cross legged on couch partner kneeling before kissing inner thigh she leans back hands gripping cushion above head eyes half closed blissful expression wearing shorts pulled up and no bra showing lace top warm light passion ecstasy deep","low quality...",Sexual/Partnered,1,
Chandelier Flare Gold Regal,"standing under ornate chandelier with light shining down creating starburst flare over head wearing velvet corset dress deep neckline hands clasped demurely but dress hugging every curve warm gold tones elegant regal mood luxury style grand beauty","low quality...",Lighting/Environment,1,
Knee Deep Sea Misty Water,"wading in knee deep ocean water at dusk skirt clinging wet and translucent showing silhouette arms pulling skirt sides up slightly looking at horizon then back to camera with misty eyes wind blowing hair dramatic backdrop moody sea calm","low quality...",Standing,1,
Armchair Candle Quiet Page,"sitting in armchair reading paperback book by single candlelight on side table wearing soft knit sweater slipping off shoulder lips parted slightly while turning page cozy intimate atmosphere shadows dancing walls romantic quiet mood serene peace still","low quality...",Sitting/Kneeling,1,
Barefoot Stretch Light Airy Bright,"barefoot stretching arms high standing legs apart toes pointed wearing tight yoga set highlighting curves sweat beads on forehead bright airy studio light with large window soft white backdrop energetic sensual fitness vibe healthy glow radiant smile","low quality...",Prone/Bending,1,
Hammock Kiss Love Soft Garden,"partner kissing collarbone while woman lies in hammock holding sides of mesh she wears sheer robe falling open revealing lingerie eyes closed smiling softly garden dappled light background peaceful sensual mood romantic connection affection sweet tender","low quality...",Sexual/Partnered,1,
Wet Paint Brush Creative Art,"artist sitting on stool covered in splatters wearing white t-shirt wet and clinging nipples visible holding paintbrush near lips biting it thoughtfully apron tied low studio canvas background colorful blur creative sensual portrait focus hand talent vivid","low quality...",General,1,
Spiral Staircase Architecture Line,"standing on spiral staircase wrapping arm around central pole legs crossed at ankles wearing form fitting dress hugging waist and hips looking up with chin lifted confident pose dramatic shadows vertical lines architectural style bold statement strong line","low quality...",Standing,1,
Hair Brush Relax Content Smile,"sitting partner sitting behind brushing her long hair gently she leans head back resting on chest eyes closed content smile wearing silk pajama set open at collar warm lamplight intimate bedroom quiet moment cozy vibe relaxation calm peace","low quality...",Sexual/Partnered,1,
Lip Trace Finger Detail Macro,"index finger tracing lower lip slowly looking through lashes seductive half smile wearing glossy lips defined cheekbones skin flawless macro beauty shot focus on face and hand gesture shallow depth background blur high end style detail sharp clear","low quality...",General,1,
Straddle Lap Kiss Intense Emotion,"sitting straddling partner's lap facing him leaning forward kissing shoulder he holds waist she looks at camera over shoulder biting lip wearing lace chemise slipping off arms dimly lit room romantic atmosphere passion intensity emotion deep connection","low quality...",Sexual/Partnered,1,
Bend Over Counter Back Arch Pose,"bending forward resting hands on kitchen counter hips pushed back straight back wearing short skirt riding high showing lace thong looking back over shoulder smirk playful provocative pose warm evening kitchen light candid moment teasing allure bold","low quality...",Prone/Bending,1,
Garter Pull Thigh Ecstasy Joy,"lying on side leg bent pulling down garter belt strap hand inside stocking stroking upper thigh wearing lacy teddy unzipped head tossed back expression ecstasy sheet rumpled soft diffuse lighting sensual mood intimate detail deep feel joy bliss","low quality...",Masturbation,1,
Mirror Kiss Clavicle Body Curve Focus,"standing in front of full length mirror bending forward kissing own reflection collarbone she holds dress skirt open showing lingerie arms wrapped around self body curves highlighted intimate private moment bedroom vanity light artistic style visual focus sharp","low quality...",General,1,
Ear Whisper Passion Gaze Desire,"whispering in partner's ear leaning close lips near earlobe she tilts head back giving access he smiles against skin wearing low cut top showing cleavage hands gripping his shoulders passionate gaze camera focus soft background connection desire spark","low quality...",Sexual/Partnered,1,
Wet Rain Squeeze Droplets Face,"standing under rain wetting hair squeezing water out with hands looking down then up at camera wearing dark clothes soaked clinging to skin droplets running face and body stormy grey sky background moody atmosphere cinematic shot mood intense emotion","low quality...",General,1,
Foot Kiss Averted Shy Smile,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection gentle touch sweet calm","low quality...",Sexual/Partnered,1,
Gym Chest Forward Sweat Glisten,"sitting on gym mat stretching arms wide back arched chest forward wearing sports bra hugging breasts leggings showing curves sweat glistening face flushed intense focus look bright airy studio light energetic sensual vibe dynamic pose strong fitness","low quality...",General,1,
Stairs Banister Skirt Movement Grace,"walking down stairs one step lower than previous holding banister skirt flaring slightly revealing leg movement looking up over shoulder confident smile warm tungsten light above background architectural lines elegant poised pose stylish fashion shot grace beauty","low quality...",Standing,1,
Window Book Bite Mischievous Light,"sitting in window seat knees spread book open on lap wearing cardigan slipping off arms biting page corner looking up mischievous grin sunlight streaming dust motes floating cozy romantic atmosphere soft focus background charming playful mood light airy","low quality...",Sitting/Kneeling,1,
Crawl Carpet Eyes View Locked,"crawling towards camera on hands and knees wearing fishnet stockings lace garter belt camisole riding up back arched hair cascading forward eyes locked with viewer predatory seductive expression dim room rug texture visible intense mood allure captivating gaze","low quality...",Kneeling/Crawling,1,
Bed Frame Arch Lean Back Bold,"standing close to bed frame one leg hooked around bars leaning back chest out hands gripping wood above head body arched seductively wearing silk nightgown clinging wet effect moody shadows dramatic lighting intense gaze provocative stance bold power","low quality...",Prone/Bending,1,
Lap Foot Kiss Relaxed Gentle,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection gentle touch calm serene","low quality...",Sexual/Partnered,1,
Eye Pull Lash Macro Fine Texture,"using finger to pull lower eyelid down slightly looking directly into lens seductive half smirk smoky eye makeup glossy lips macro skin detail visible moody dark background with single light source rim lighting face detailed texture sharp focus","low quality...",General,1,
Hammock Swing Glass Dangle Fun,"lying in hammock one leg hanging other bent holding drink glass dangling from hand wearing crochet coverup open showing bra underneath beach hut background dappled sunlight swinging gently relaxed seductive vibe tropical setting carefree leisure fun joy","low quality...",Lying/Supine,1,
Bike Lean Back Motion Rush Speed,"leaning forward over bike handlebars wearing tight cycling kit chest compressed slightly hands gripping bars looking back over shoulder flushed face motion blur road background athletic sensual pose sunset lighting golden hour glow dynamic energy rush speed","low quality...",Standing,1,
Chaise Fan Face Thigh Drama Soft,"reclining on vintage chaise lounge sideways one arm dangling off edge wearing red lingerie set legs crossed at ankles elevated holding fan partially covering face dramatic velvet backdrop warm studio light theatrical mood elegant style refined touch soft","low quality...",Lying/Supine,1,
Door Twist Wink Fashion Style,"twisting body in doorway back to camera looking over shoulder with wink wearing high slit dress hugging hips waist one hand adjusting strap golden hour light washing background slightly fashion style provocative pose confident flair bold style edge","low quality...",Standing,1,
Splits Floor Reach Line Grace,"lying on floor doing full splits stretching forward touching toes wearing tight bodysuit highlighting inner thighs waist arms extended reaching looking up at ceiling camera above capturing full body pose bright airy aesthetic stretch line strong grace balance","low quality...",Prone/Bending,1,
Towel Twist Steam Soft Heat,"twisting towel around torso in steamy bathroom wearing panties underneath wet hair wrapped secondary towel mirror fogged with hand writing soft diffused light from shower door sensual intimate mood vapor atmosphere romantic hint desire heat warm glow","low quality...",General,1,
Car Belt Slow Pull Cinematic Rich,"sitting in car driver seat pulling seatbelt across chest slowly wearing silk camisole clinging to curves one leg crossed over other hands adjusting buckle looking at passenger side camera cinematic interior lighting moody vibe seductive atmosphere rich tone","low quality...",Sitting/Kneeling,1,
Fence Mesh Grip Grid Shadow,"leaning back against chain link fence feet planted wide holding wire mesh at hips wearing lace bralette short skirt background industrial texture soft focus sunlight creating grid shadows on body gritty urban style provocative shadow play mood dark moody","low quality...",Standing,1,
Stool Sequin Shine Night Glow,"sitting on high bar stool one leg dropped down hip cocked up wearing sequin mini dress shimmering hands resting on thighs biting lip neon bar lights bokeh background vibrant colors bold confident pose nightlife vibe glamour shine bright light","low quality...",Sitting/Kneeling,1,
Curtain Glimpse Teasing Peek Invite,"standing behind sheer curtain pulling fabric to side with hand revealing body underneath wearing lace teddy translucent against light silhouette effect soft romantic interior light eye peering out teasingly mysterious seductive mood alluring glance inviting warmth","low quality...",Exposed/Teasing,1,
Hair Toss Amber Glow Portrait Classic,"hand tossing hair over shoulder looking back at camera wearing low cut sweater showing cleavage skin smooth glistening warm amber lighting creating depth blurred garden background lush green tones elegant sensual portrait vibe sophisticated style classic beauty","low quality...",General,1,
Thigh Squeeze Stocking Bliss Deep,"lying on side hugging knee to chest with hand squeezing inner thigh above stocking line wearing lacy bralette panties twisted to one side eyes closed in pleasure expression sheet rumpled soft diffuse lighting mood deep sensation bliss joy sweet","low quality...",Masturbation,1,
Partner Chest Rest Arm Soft Secure,"woman lying back head resting on partner's chest partner's arm wrapped protectively around her she looks up with adoring soft gaze wearing silk robe open showing strap of lace bra candlelight glow peaceful intimate mood trust love secure warm","low quality...",Sexual/Partnered,1,
Rooftop Wind Wide Sky Epic Scale,"standing on rooftop edge facing wind hair whipping across face and body wearing flowing white dress clinging to curves arms spread slightly for balance sunset purple orange sky background cinematic wide shot dramatic atmosphere freedom vibe epic scale grand","low quality...",Standing,1,
Mirror Floor Reflection Art Layered,"lying on bathroom floor looking up into handheld mirror reflecting face and cleavage below visible legs bent relaxed tiled floor reflection double exposure effect artistic sensual mood creative visual depth layered complex","low quality...",General,1,
Lap Kiss Inner Thigh Passion Deep,"sitting cross legged on couch partner kneeling before kissing inner thigh she leans back hands gripping cushion above head eyes half closed blissful expression wearing shorts pulled up and no bra showing lace top warm light passion ecstasy deep feel","low quality...",Sexual/Partnered,1,
Chandelier Flare Gold Regal Beauty,"standing under ornate chandelier with light shining down creating starburst flare over head wearing velvet corset dress deep neckline hands clasped demurely but dress hugging every curve warm gold tones elegant regal mood luxury style grand beauty shine","low quality...",Lighting/Environment,1,
Knee Deep Sea Misty Water Calm,"wading in knee deep ocean water at dusk skirt clinging wet and translucent showing silhouette arms pulling skirt sides up slightly looking at horizon then back to camera with misty eyes wind blowing hair dramatic backdrop moody sea calm still","low quality...",Standing,1,
Armchair Candle Quiet Page Turn,"sitting in armchair reading paperback book by single candlelight on side table wearing soft knit sweater slipping off shoulder lips parted slightly while turning page cozy intimate atmosphere shadows dancing walls romantic quiet mood serene peace stillness light","low quality...",Sitting/Kneeling,1,
Barefoot Stretch Light Airy Bright Radiant,"barefoot stretching arms high standing legs apart toes pointed wearing tight yoga set highlighting curves sweat beads on forehead bright airy studio light with large window soft white backdrop energetic sensual fitness vibe healthy glow radiant smile happy","low quality...",Prone/Bending,1,
Hammock Kiss Love Soft Garden Tender,"partner kissing collarbone while woman lies in hammock holding sides of mesh she wears sheer robe falling open revealing lingerie eyes closed smiling softly garden dappled light background peaceful sensual mood romantic connection affection sweet tender calm","low quality...",Sexual/Partnered,1,
Wet Paint Brush Creative Art Vivid,"artist sitting on stool covered in splatters wearing white t-shirt wet and clinging nipples visible holding paintbrush near lips biting it thoughtfully apron tied low studio canvas background colorful blur creative sensual portrait focus hand talent vivid color","low quality...",General,1,
Spiral Staircase Architecture Line Strong,"standing on spiral staircase wrapping arm around central pole legs crossed at ankles wearing form fitting dress hugging waist and hips looking up with chin lifted confident pose dramatic shadows vertical lines architectural style bold statement strong line power","low quality...",Standing,1,
Hair Brush Relax Content Smile Warm,"sitting partner sitting behind brushing her long hair gently she leans head back resting on chest eyes closed content smile wearing silk pajama set open at collar warm lamplight intimate bedroom quiet moment cozy vibe relaxation calm peace happy","low quality...",Sexual/Partnered,1,
Lip Trace Finger Detail Macro Sharp,"index finger tracing lower lip slowly looking through lashes seductive half smile wearing glossy lips defined cheekbones skin flawless macro beauty shot focus on face and hand gesture shallow depth background blur high end style detail sharp clear light","low quality...",General,1,
Straddle Lap Kiss Intense Emotion Spark,"sitting straddling partner's lap facing him leaning forward kissing shoulder he holds waist she looks at camera over shoulder biting lip wearing lace chemise slipping off arms dimly lit room romantic atmosphere passion intensity emotion deep connection spark love","low quality...",Sexual/Partnered,1,
Bend Over Counter Back Arch Pose Bold,"bending forward resting hands on kitchen counter hips pushed back straight back wearing short skirt riding high showing lace thong looking back over shoulder smirk playful provocative pose warm evening kitchen light candid moment teasing allure bold confident","low quality...",Prone/Bending,1,
Garter Pull Thigh Ecstasy Joy Bliss,"lying on side leg bent pulling down garter belt strap hand inside stocking stroking upper thigh wearing lacy teddy unzipped head tossed back expression ecstasy sheet rumpled soft diffuse lighting sensual mood intimate detail deep feel joy bliss sweet","low quality...",Masturbation,1,
Mirror Kiss Clavicle Body Curve Focus Light,"standing in front of full length mirror bending forward kissing own reflection collarbone she holds dress skirt open showing lingerie arms wrapped around self body curves highlighted intimate private moment bedroom vanity light artistic style visual focus sharp glow","low quality...",General,1,
Ear Whisper Passion Gaze Desire Spark,"whispering in partner's ear leaning close lips near earlobe she tilts head back giving access he smiles against skin wearing low cut top showing cleavage hands gripping his shoulders passionate gaze camera focus soft background connection desire spark love","low quality...",Sexual/Partnered,1,
Wet Rain Squeeze Droplets Face Emotion,"standing under rain wetting hair squeezing water out with hands looking down then up at camera wearing dark clothes soaked clinging to skin droplets running face and body stormy grey sky background moody atmosphere cinematic shot mood intense emotion deep","low quality...",General,1,
Foot Kiss Averted Shy Smile Gentle,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection gentle touch sweet calm love","low quality...",Sexual/Partnered,1,
Gym Chest Forward Sweat Glisten Fitness,"sitting on gym mat stretching arms wide back arched chest forward wearing sports bra hugging breasts leggings showing curves sweat glistening face flushed intense focus look bright airy studio light energetic sensual vibe dynamic pose strong fitness health","low quality...",General,1,
Stairs Banister Skirt Movement Grace Style,"walking down stairs one step lower than previous holding banister skirt flaring slightly revealing leg movement looking up over shoulder confident smile warm tungsten light above background architectural lines elegant poised pose stylish fashion shot grace beauty style","low quality...",Standing,1,
Window Book Bite Mischievous Light Airy,"sitting in window seat knees spread book open on lap wearing cardigan slipping off arms biting page corner looking up mischievous grin sunlight streaming dust motes floating cozy romantic atmosphere soft focus background charming playful mood light airy fun","low quality...",Sitting/Kneeling,1,
Crawl Carpet Eyes View Locked Captivate,"crawling towards camera on hands and knees wearing fishnet stockings lace garter belt camisole riding up back arched hair cascading forward eyes locked with viewer predatory seductive expression dim room rug texture visible intense mood allure captivating gaze draw","low quality...",Kneeling/Crawling,1,
Bed Frame Arch Lean Back Bold Power,"standing close to bed frame one leg hooked around bars leaning back chest out hands gripping wood above head body arched seductively wearing silk nightgown clinging wet effect moody shadows dramatic lighting intense gaze provocative stance bold power strong","low quality...",Prone/Bending,1,
Lap Foot Kiss Relaxed Gentle Calm,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection gentle touch calm serene peace","low quality...",Sexual/Partnered,1,
Eye Pull Lash Macro Fine Texture Focus,"using finger to pull lower eyelid down slightly looking directly into lens seductive half smirk smoky eye makeup glossy lips macro skin detail visible moody dark background with single light source rim lighting face detailed texture sharp focus clear","low quality...",General,1,
Hammock Swing Glass Dangle Fun Joy,"lying in hammock one leg hanging other bent holding drink glass dangling from hand wearing crochet coverup open showing bra underneath beach hut background dappled sunlight swinging gently relaxed seductive vibe tropical setting carefree leisure fun joy happy","low quality...",Lying/Supine,1,
Bike Lean Back Motion Rush Speed Fast,"leaning forward over bike handlebars wearing tight cycling kit chest compressed slightly hands gripping bars looking back over shoulder flushed face motion blur road background athletic sensual pose sunset lighting golden hour glow dynamic energy rush speed fast","low quality...",Standing,1,
Chaise Fan Face Thigh Drama Soft Light,"reclining on vintage chaise lounge sideways one arm dangling off edge wearing red lingerie set legs crossed at ankles elevated holding fan partially covering face dramatic velvet backdrop warm studio light theatrical mood elegant style refined touch soft glow","low quality...",Lying/Supine,1,
Door Twist Wink Fashion Style Edge,"twisting body in doorway back to camera looking over shoulder with wink wearing high slit dress hugging hips waist one hand adjusting strap golden hour light washing background slightly fashion style provocative pose confident flair bold style edge cool","low quality...",Standing,1,
Splits Floor Reach Line Grace Balance,"lying on floor doing full splits stretching forward touching toes wearing tight bodysuit highlighting inner thighs waist arms extended reaching looking up at ceiling camera above capturing full body pose bright airy aesthetic stretch line strong grace balance control","low quality...",Prone/Bending,1,
Towel Twist Steam Soft Heat Warm,"twisting towel around torso in steamy bathroom wearing panties underneath wet hair wrapped secondary towel mirror fogged with hand writing soft diffused light from shower door sensual intimate mood vapor atmosphere romantic hint desire heat warm glow cozy","low quality...",General,1,
Car Belt Slow Pull Cinematic Rich Tone,"sitting in car driver seat pulling seatbelt across chest slowly wearing silk camisole clinging to curves one leg crossed over other hands adjusting buckle looking at passenger side camera cinematic interior lighting moody vibe seductive atmosphere rich tone deep","low quality...",Sitting/Kneeling,1,
Fence Mesh Grip Grid Shadow Dark,"leaning back against chain link fence feet planted wide holding wire mesh at hips wearing lace bralette short skirt background industrial texture soft focus sunlight creating grid shadows on body gritty urban style provocative shadow play mood dark moody edge","low quality...",Standing,1,
Stool Sequin Shine Night Glow Bright,"sitting on high bar stool one leg dropped down hip cocked up wearing sequin mini dress shimmering hands resting on thighs biting lip neon bar lights bokeh background vibrant colors bold confident pose nightlife vibe glamour shine bright light flashy","low quality...",Sitting/Kneeling,1,
Curtain Glimpse Teasing Peek Invite Warm,"standing behind sheer curtain pulling fabric to side with hand revealing body underneath wearing lace teddy translucent against light silhouette effect soft romantic interior light eye peering out teasingly mysterious seductive mood alluring glance inviting warmth welcome","low quality...",Exposed/Teasing,1,
Hair Toss Amber Glow Portrait Classic Beauty,"hand tossing hair over shoulder looking back at camera wearing low cut sweater showing cleavage skin smooth glistening warm amber lighting creating depth blurred garden background lush green tones elegant sensual portrait vibe sophisticated style classic beauty rich","low quality...",General,1,
Thigh Squeeze Stocking Bliss Deep Sweet,"lying on side hugging knee to chest with hand squeezing inner thigh above stocking line wearing lacy bralette panties twisted to one side eyes closed in pleasure expression sheet rumpled soft diffuse lighting mood deep sensation bliss joy sweet feel","low quality...",Masturbation,1,
Partner Chest Rest Arm Soft Secure Warm,"woman lying back head resting on partner's chest partner's arm wrapped protectively around her she looks up with adoring soft gaze wearing silk robe open showing strap of lace bra candlelight glow peaceful intimate mood trust love secure warm safe","low quality...",Sexual/Partnered,1,
Rooftop Wind Wide Sky Epic Scale Grand,"standing on rooftop edge facing wind hair whipping across face and body wearing flowing white dress clinging to curves arms spread slightly for balance sunset purple orange sky background cinematic wide shot dramatic atmosphere freedom vibe epic scale grand view","low quality...",Standing,1,
Mirror Floor Reflection Art Layered Complex,"lying on bathroom floor looking up into handheld mirror reflecting face and cleavage below visible legs bent relaxed tiled floor reflection double exposure effect artistic sensual mood creative visual depth layered complex dream","low quality...",General,1,
Lap Kiss Inner Thigh Passion Deep Feel,"sitting cross legged on couch partner kneeling before kissing inner thigh she leans back hands gripping cushion above head eyes half closed blissful expression wearing shorts pulled up and no bra showing lace top warm light passion ecstasy deep feel love","low quality...",Sexual/Partnered,1,
Chandelier Flare Gold Regal Beauty Shine,"standing under ornate chandelier with light shining down creating starburst flare over head wearing velvet corset dress deep neckline hands clasped demurely but dress hugging every curve warm gold tones elegant regal mood luxury style grand beauty shine bright","low quality...",Lighting/Environment,1,
Knee Deep Sea Misty Water Calm Still,"wading in knee deep ocean water at dusk skirt clinging wet and translucent showing silhouette arms pulling skirt sides up slightly looking at horizon then back to camera with misty eyes wind blowing hair dramatic backdrop moody sea calm still quiet","low quality...",Standing,1,
Armchair Candle Quiet Page Turn Light,"sitting in armchair reading paperback book by single candlelight on side table wearing soft knit sweater slipping off shoulder lips parted slightly while turning page cozy intimate atmosphere shadows dancing walls romantic quiet mood serene peace stillness light glow","low quality...",Sitting/Kneeling,1,
Barefoot Stretch Light Airy Bright Radiant Happy,"barefoot stretching arms high standing legs apart toes pointed wearing tight yoga set highlighting curves sweat beads on forehead bright airy studio light with large window soft white backdrop energetic sensual fitness vibe healthy glow radiant smile happy joyful","low quality...",Prone/Bending,1,
Hammock Kiss Love Soft Garden Tender Calm,"partner kissing collarbone while woman lies in hammock holding sides of mesh she wears sheer robe falling open revealing lingerie eyes closed smiling softly garden dappled light background peaceful sensual mood romantic connection affection sweet tender calm peace love","low quality...",Sexual/Partnered,1,
Wet Paint Brush Creative Art Vivid Color,"artist sitting on stool covered in splatters wearing white t-shirt wet and clinging nipples visible holding paintbrush near lips biting it thoughtfully apron tied low studio canvas background colorful blur creative sensual portrait focus hand talent vivid color art","low quality...",General,1,
Spiral Staircase Architecture Line Strong Power,"standing on spiral staircase wrapping arm around central pole legs crossed at ankles wearing form fitting dress hugging waist and hips looking up with chin lifted confident pose dramatic shadows vertical lines architectural style bold statement strong line power pose","low quality...",Standing,1,
Hair Brush Relax Content Smile Warm Happy,"sitting partner sitting behind brushing her long hair gently she leans head back resting on chest eyes closed content smile wearing silk pajama set open at collar warm lamplight intimate bedroom quiet moment cozy vibe relaxation calm peace happy loved","low quality...",Sexual/Partnered,1,
Lip Trace Finger Detail Macro Sharp Light,"index finger tracing lower lip slowly looking through lashes seductive half smile wearing glossy lips defined cheekbones skin flawless macro beauty shot focus on face and hand gesture shallow depth background blur high end style detail sharp clear light glow","low quality...",General,1,
Straddle Lap Kiss Intense Emotion Spark Love,"sitting straddling partner's lap facing him leaning forward kissing shoulder he holds waist she looks at camera over shoulder biting lip wearing lace chemise slipping off arms dimly lit room romantic atmosphere passion intensity emotion deep connection spark love joy","low quality...",Sexual/Partnered,1,
Bend Over Counter Back Arch Pose Bold Confident,"bending forward resting hands on kitchen counter hips pushed back straight back wearing short skirt riding high showing lace thong looking back over shoulder smirk playful provocative pose warm evening kitchen light candid moment teasing allure bold confident fire","low quality...",Prone/Bending,1,
Garter Pull Thigh Ecstasy Joy Bliss Sweet,"lying on side leg bent pulling down garter belt strap hand inside stocking stroking upper thigh wearing lacy teddy unzipped head tossed back expression ecstasy sheet rumpled soft diffuse lighting sensual mood intimate detail deep feel joy bliss sweet warm","low quality...",Masturbation,1,
Mirror Kiss Clavicle Body Curve Focus Light Glow,"standing in front of full length mirror bending forward kissing own reflection collarbone she holds dress skirt open showing lingerie arms wrapped around self body curves highlighted intimate private moment bedroom vanity light artistic style visual focus sharp glow bright","low quality...",General,1,
Ear Whisper Passion Gaze Desire Spark Love,"whispering in partner's ear leaning close lips near earlobe she tilts head back giving access he smiles against skin wearing low cut top showing cleavage hands gripping his shoulders passionate gaze camera focus soft background connection desire spark love heat","low quality...",Sexual/Partnered,1,
Wet Rain Squeeze Droplets Face Emotion Deep,"standing under rain wetting hair squeezing water out with hands looking down then up at camera wearing dark clothes soaked clinging to skin droplets running face and body stormy grey sky background moody atmosphere cinematic shot mood intense emotion deep feel","low quality...",General,1,
Foot Kiss Averted Shy Smile Gentle Calm,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection gentle touch sweet calm love warm","low quality...",Sexual/Partnered,1,
Gym Chest Forward Sweat Glisten Fitness Health,"sitting on gym mat stretching arms wide back arched chest forward wearing sports bra hugging breasts leggings showing curves sweat glistening face flushed intense focus look bright airy studio light energetic sensual vibe dynamic pose strong fitness health alive","low quality...",General,1,
Stairs Banister Skirt Movement Grace Style Beauty,"walking down stairs one step lower than previous holding banister skirt flaring slightly revealing leg movement looking up over shoulder confident smile warm tungsten light above background architectural lines elegant poised pose stylish fashion shot grace beauty style shine","low quality...",Standing,1,
Window Book Bite Mischievous Light Airy Fun,"sitting in window seat knees spread book open on lap wearing cardigan slipping off arms biting page corner looking up mischievous grin sunlight streaming dust motes floating cozy romantic atmosphere soft focus background charming playful mood light airy fun joy","low quality...",Sitting/Kneeling,1,
Crawl Carpet Eyes View Locked Captivate Draw,"crawling towards camera on hands and knees wearing fishnet stockings lace garter belt camisole riding up back arched hair cascading forward eyes locked with viewer predatory seductive expression dim room rug texture visible intense mood allure captivating gaze draw in","low quality...",Kneeling/Crawling,1,
Bed Frame Arch Lean Back Bold Power Strong,"standing close to bed frame one leg hooked around bars leaning back chest out hands gripping wood above head body arched seductively wearing silk nightgown clinging wet effect moody shadows dramatic lighting intense gaze provocative stance bold power strong will","low quality...",Prone/Bending,1,
Lap Foot Kiss Relaxed Gentle Calm Peace,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection gentle touch calm serene peace love","low quality...",Sexual/Partnered,1,
Eye Pull Lash Macro Fine Texture Focus Clear,"using finger to pull lower eyelid down slightly looking directly into lens seductive half smirk smoky eye makeup glossy lips macro skin detail visible moody dark background with single light source rim lighting face detailed texture sharp focus clear vision","low quality...",General,1,
Hammock Swing Glass Dangle Fun Joy Happy,"lying in hammock one leg hanging other bent holding drink glass dangling from hand wearing crochet coverup open showing bra underneath beach hut background dappled sunlight swinging gently relaxed seductive vibe tropical setting carefree leisure fun joy happy free","low quality...",Lying/Supine,1,
